Player,Pos,Age,Exp,PPG,RPG,APG,FA_Type
Yuki Kawamura,G,25,2,3.4,1.8,2.6,rfa
Trevor Keels,G,22,2,1.0,0.3,0.0,rfa
Luke Kennard,G,30,9,8.4,2.3,2.2,ufa
Walker Kessler,C,24,4,14.4,10.8,3.0,rfa
Maxi Kleber,F,34,9,2.0,2.0,0.6,ufa
Christian Koloko,C,26,4,2.7,3.0,0.7,rfa
Jonathan Kuminga,F,23,5,12.2,5.6,2.3,ufa
Zach LaVine,G,31,12,19.2,2.8,2.3,ufa
Jock Landale,C,30,5,10.6,5.7,1.7,ufa
Pelle Larsson,G,25,2,11.4,3.5,3.4,rfa
AJ Lawson,G,25,4,4.2,1.8,0.3,ufa
EJ Liddell,F,25,3,5.7,2.7,0.9,rfa
Isaiah Livers,F,27,4,1.8,1.7,0.6,rfa
Kevon Looney,F,30,11,2.8,5.6,1.6,ufa
Brook Lopez,C,38,18,8.5,3.6,1.3,ufa
Kevin Love,F-C,37,18,6.7,5.8,1.8,ufa
Caleb Love,G,24,1,10.4,2.3,2.5,rfa
Kyle Lowry,G,40,20,1.2,0.6,0.8,ufa
Sandro Mamukelashvili,F-C,27,5,11.2,4.9,1.9,ufa
Tyrese Martin,F,27,3,6.3,2.5,1.7,rfa
Alijah Martin,G,24,1,2.2,0.9,0.5,rfa
Bennedict Mathurin,G-F,24,4,17.6,5.4,2.4,rfa
Karlo Matkovic,F-C,25,2,5.7,3.7,0.8,rfa
Bez Mbeng,G,23,1,8.1,3.8,4.1,rfa
Mac McClung,G,27,4,6.1,0.9,0.9,rfa
CJ McCollum,G,34,13,18.7,3.3,3.9,ufa
Kevin McCullar Jr.,G,25,2,2.4,1.3,1.0,rfa
Doug McDermott,F,34,12,5.7,1.3,0.8,ufa
Jordan McLaughlin,G,30,7,2.0,0.7,0.9,ufa
De'Anthony Melton,G,28,8,12.3,3.2,2.6,ufa
Khris Middleton,F,34,14,10.2,3.7,2.8,ufa
Leonard Miller,F,22,3,7.8,3.9,0.9,rfa
Jordan Miller,G,26,3,10.0,3.0,2.3,rfa
Josh Minott,F,23,4,7.4,3.2,0.9,ufa
Jonathan Mogbo,F,24,2,1.5,1.7,0.6,rfa
Wendell Moore Jr.,G,24,4,1.7,1.0,0.7,ufa
Larry Nance Jr.,F-C,33,11,3.7,2.7,1.0,ufa
Ryan Nembhard,G,23,1,6.6,2.2,5.3,rfa
Jusuf Nurkic,C,31,12,10.9,10.4,4.8,ufa
Josh Oduro,C,25,1,8.3,7.7,1.3,rfa
Josh Okogie,G,27,8,4.5,2.6,0.9,ufa
Kelly Olynyk,F-C,35,13,3.2,1.8,1.2,ufa
Norchad Omier,F,24,1,2.8,1.2,0.3,rfa
Kelly Oubre Jr.,F-G,30,11,14.1,5.0,1.6,ufa
Gary Payton II,G,33,10,7.5,3.6,1.7,ufa
Julian Phillips,F,22,3,2.9,1.0,0.2,rfa
Jalen Pickett,G,26,3,5.2,2.3,2.3,rfa
Daeqwon Plowden,G-F,27,2,10.8,3.0,1.3,rfa
Mason Plumlee,F-C,36,13,1.6,2.7,1.0,ufa
Kevin Porter Jr.,G-F,26,6,17.4,5.2,7.4,ufa
Kristaps Porzingis,F-C,30,11,16.7,5.2,2.5,ufa
Quinten Post,C,26,2,7.7,4.0,1.4,rfa
Micah Potter,C,28,5,9.7,5.0,1.5,ufa
Norman Powell,G,33,11,21.7,3.5,2.5,ufa
Dwight Powell,F-C,34,12,3.3,4.1,1.1,ufa
Taurean Prince,F,32,10,9.2,3.1,1.8,ufa
Olivier-Maxence Prosper,F,23,3,10.0,3.5,1.0,ufa
Neemias Queta,C,26,5,10.2,8.4,1.7,ufa
Austin Reaves,G,28,5,23.3,4.7,5.5,ufa
Antonio Reeves,G,25,2,2.7,0.8,0.3,rfa
Nick Richards,C,28,6,5.8,5.1,0.3,ufa
Mitchell Robinson,C-F,28,8,5.7,8.8,0.9,ufa
David Roddy,F,25,4,8.0,4.0,0.8,ufa
Rayan Rupert,G-F,22,3,5.2,2.9,1.1,rfa
D'Angelo Russell,G,30,11,10.2,2.3,4.0,ufa
Kobe Sanders,G,24,1,7.3,2.3,1.6,rfa
Collin Sexton,G,27,8,15.4,2.3,3.3,ufa
Landry Shamet,G,29,8,9.3,1.8,1.4,ufa
Day'Ron Sharpe,C,24,5,8.7,6.7,2.3,ufa
Jamal Shead,G,23,2,6.6,1.7,5.4,rfa
Anfernee Simons,G,27,8,14.3,2.5,2.4,ufa
Jericho Sims,C,27,5,5.0,5.5,1.6,ufa
Jalen Slawson,F,26,2,7.3,4.4,2.8,rfa
Marcus Smart,G,32,12,9.3,2.8,3.0,ufa
Tolu Smith,F,25,2,3.7,3.3,0.9,rfa
